,district,ward,type_of_housing,legal_paper,num_floors,num_bed_rooms,squared_meter_area,length_meter,width_meter,price_in_million_per_square_meter
5060,Hà Đông,Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,3,3,33.0,8.2,4.0,49.39
5064,Hà Đông,Hà Cầu,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,30.0,10.0,3.2,76.67
5069,Cầu Giấy,Trung Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,5,47.0,12.0,3.8,127.66
5089,Thanh Xuân,Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,4,3,46.0,11.5,4.0,100.0
5096,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,10.0,3.5,84.29
5111,Hà Đông,La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,42.0,12.0,3.5,82.14
5123,Hoàng Mai,Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,3,28.0,9.0,3.2,105.36
5127,Hoàng Mai,Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,3,28.0,9.0,3.2,105.36
5135,Hoàng Mai,Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,5,3,28.0,9.0,3.0,83.93
5140,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,4,5,50.0,12.0,4.0,72.0
5150,Đống Đa,Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,4,3,25.0,6.0,4.7,88.0
5152,Nam Từ Liêm,Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,5,4,51.0,13.0,4.0,76.47
5153,Hoàng Mai,Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,9.0,3.5,83.33
5161,Hoàng Mai,Thanh Trì,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,30.0,10.0,3.0,126.67
5181,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,8.0,4.0,84.29
5195,Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,5,3,25.0,8.0,3.0,74.0
5205,Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,5,3,28.0,8.0,3.2,105.36
5206,Hoàng Mai,Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,5,3,28.0,9.0,3.0,83.93
5208,Thanh Xuân,Phương Liệt,"Nhà ngõ, hẻm",Đã có sổ,6,4,40.0,8.0,5.2,131.25
5217,Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,4,55.0,14.0,4.0,105.45
5225,Hà Đông,Phú Lương,"Nhà ngõ, hẻm",Đã có sổ,4,4,38.0,10.0,3.8,42.89
5251,Tây Hồ,Thụy Khuê,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,8.0,4.0,131.43
5269,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,3,2,44.0,7.0,6.2,79.55
5286,Tây Hồ,Thụy Khuê,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,8.0,4.0,132.86
5287,Cầu Giấy,Trung Hoà,"Nhà ngõ, hẻm",Đã có sổ,3,4,44.0,13.0,4.0,152.27
5322,Nam Từ Liêm,Đại Mỗ,"Nhà ngõ, hẻm",Đã có sổ,4,3,42.0,10.0,4.0,64.29
5323,Hoàng Mai,Mai Động,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,6.0,5.9,90.0
5324,Hoàng Mai,Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,5,3,33.0,7.0,5.0,93.94
5328,Nam Từ Liêm,Tây Mỗ,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,11.0,3.5,60.0
5330,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,4,4,36.0,7.0,5.0,75.0
5338,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,3,2,34.0,10.0,3.3,85.29
5352,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,4,4,36.0,7.0,5.0,75.0
5361,Hoàng Mai,Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,4,2,21.0,8.0,3.0,71.43
5391,Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,3,2,34.0,10.0,3.3,85.29
5396,Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,5,3,25.0,8.0,3.0,74.0
5412,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,7.5,4.0,78.33
5417,Đống Đa,Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,11.0,4.0,88.89
5425,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,6.0,5.0,78.33
5440,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,4,52.0,14.0,3.8,78.85
5447,Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,7.0,4.1,71.67
5448,Cầu Giấy,Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,4,3,70.0,15.4,4.5,62.86
5489,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,4,39.0,11.2,4.0,135.9
5496,Hoàng Mai,Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,5,4,37.0,10.0,3.5,83.78
5497,Long Biên,Thượng Thanh,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,50.0,12.5,4.0,82.0
5513,Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,3,2,40.0,10.0,4.0,96.25
5523,Long Biên,Phúc Lợi,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,7.5,4.0,63.33
5524,Nam Từ Liêm,Trung Văn,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,58.0,12.3,4.7,115.52
5533,Hà Đông,La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,30.0,8.5,4.0,86.67
5560,Hà Đông,Phú La,"Nhà ngõ, hẻm",Đã có sổ,4,3,31.0,13.0,4.0,92.9
5582,Đống Đa,Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,4,4,35.0,10.5,3.0,65.71
5589,Đống Đa,Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,3,36.0,10.0,3.5,65.28
5599,Ba Đình,Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,4,4,31.0,10.0,3.5,101.61
5608,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,10.0,3.5,95.71
5614,Hoàng Mai,Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,6,3,31.0,7.5,4.54,76.77
5633,Long Biên,Việt Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4,58.0,14.0,4.0,102.59
5651,Hà Đông,La Khê,"Nhà ngõ, hẻm",Giấy tờ khác,3,2,46.0,9.2,5.0,40.43
5654,Đống Đa,Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,11.0,3.8,117.5
5659,Nam Từ Liêm,Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,5,3,45.0,10.0,4.5,108.89
5677,Hai Bà Trưng,Đồng Tâm,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,10.0,4.0,95.0
5686,Hai Bà Trưng,Phố Huế,"Nhà ngõ, hẻm",Đã có sổ,5,5,40.0,7.0,5.0,85.0
5690,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,3,3,45.0,9.0,5.0,57.78
5691,Đống Đa,Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,4,45.0,7.0,6.0,124.44
5695,Hà Đông,Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4,3,30.0,9.0,3.5,56.67
5696,Nam Từ Liêm,Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,9.2,3.8,117.14
5699,Cầu Giấy,Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,4,4,60.0,15.0,4.0,131.67
5707,Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,2,30.0,6.0,5.0,95.0
5710,Hai Bà Trưng,Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,10.0,4.0,92.5
5715,Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,4,3,46.6,10.0,5.0,89.13
5716,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,7.5,4.0,76.0
5717,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,10.0,4.0,96.25
5730,Hà Đông,Phú Lương,"Nhà ngõ, hẻm",Đã có sổ,4,3,30.0,8.0,3.5,51.0
5736,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,35.0,9.0,3.0,41.43
5762,Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,6,4,40.0,10.0,4.0,136.25
5767,Hà Đông,Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,3,3,44.0,15.0,3.0,115.91
5773,Bắc Từ Liêm,Thụy Phương,"Nhà ngõ, hẻm",Đã có sổ,3,3,40.0,9.5,4.3,62.5
5774,Hà Đông,Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4,3,31.0,8.0,4.0,49.03
5784,Bắc Từ Liêm,Phú Diễn,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,45.0,10.0,5.0,95.56
5792,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,4,4,55.0,14.0,4.0,92.73
5800,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,35.0,9.0,4.0,48.0
5806,Hai Bà Trưng,Cầu Dền,"Nhà ngõ, hẻm",Đã có sổ,5,4,36.0,9.5,3.8,88.89
5807,Bắc Từ Liêm,Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,5,4,42.0,10.0,4.0,64.29
5814,Nam Từ Liêm,Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,5,4,39.0,11.0,3.6,93.59
5822,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,4,35.0,9.0,4.0,77.14
5824,Long Biên,Việt Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,5,58.2,11.74,3.87,102.59
5832,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,9.0,5.0,66.44
5850,Nam Từ Liêm,Mễ Trì,"Nhà ngõ, hẻm",Đã có sổ,5,3,33.0,10.0,3.3,107.58
5859,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,10.0,3.0,85.0
5863,Hà Đông,Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4,41.0,13.0,3.2,74.39
5869,Hoàng Mai,Giáp Bát,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,30.0,5.2,5.8,95.0
5883,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4,28.0,7.0,4.0,78.57
5898,Huyện Hoài Đức,Xã Kim Chung,"Nhà ngõ, hẻm",Đã có sổ,3,2,34.0,9.0,4.0,43.47
5919,Thanh Xuân,Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,4,32.0,8.0,4.0,85.94
5928,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4,43.0,12.0,4.0,123.02
5957,Hoàng Mai,Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,5.0,6.0,88.33
5965,Hà Đông,Hà Cầu,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,35.0,7.0,5.0,75.71
5978,Nam Từ Liêm,Mỹ Đình 1,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,54.0,12.0,4.5,87.04
5985,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,10.0,3.7,155.71
5988,Long Biên,Đức Giang,Nhà biệt thự,Đã có sổ,5,5,58.0,12.0,4.0,102.59
5994,Long Biên,Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,5,4,42.6,9.26,4.6,69.05
6024,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,3,30.0,9.0,3.4,86.67
6027,Long Biên,Long Biên,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,6.0,7.0,65.0
6029,Long Biên,Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,5.0,6.0,76.67
6032,Long Biên,Thạch Bàn,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,38.0,9.0,4.0,105.26
6056,Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,5,5,50.0,12.0,4.5,76.0
6076,Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,5,3,34.0,6.0,5.0,61.76
6080,Đống Đa,Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,4,4,55.0,14.0,4.0,72.73
6096,Thanh Xuân,Khương Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,35.0,5.0,7.0,84.29
6101,Hoàng Mai,Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,6,4,31.0,7.0,4.7,79.03
6105,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,10.0,3.5,50.29
6111,Long Biên,Long Biên,"Nhà ngõ, hẻm",Đã có sổ,5,3,36.0,7.5,5.0,65.28
6112,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,3,3,58.0,15.0,3.5,98.28
6121,Hà Đông,Phú Lương,"Nhà ngõ, hẻm",Đã có sổ,4,3,34.0,10.0,3.4,42.65
6126,Cầu Giấy,Nghĩa Tân,"Nhà ngõ, hẻm",Đã có sổ,5,3,38.0,10.0,4.0,97.37
6136,Ba Đình,Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,3,25.0,8.0,3.3,94.0
6149,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,5,40.0,13.5,3.1,76.25
6156,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,32.0,8.0,4.0,55.63
6168,Cầu Giấy,Dịch Vọng,"Nhà mặt phố, mặt tiền",Đã có sổ,5,2,35.0,7.0,5.0,97.14
6169,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,36.0,10.0,3.6,43.06
6174,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,36.0,9.0,4.0,55.56
6176,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,32.0,9.0,3.6,45.31
6184,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,31.0,9.0,3.5,57.1
6187,Ba Đình,Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,5,3,25.0,6.0,4.0,88.0
6215,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,5,4,38.0,10.0,3.8,92.11
6217,Tây Hồ,Bưởi,"Nhà ngõ, hẻm",Đã có sổ,6,4,46.0,9.0,4.8,89.13
6225,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,32.0,8.0,4.0,62.5
6233,Đống Đa,Khâm Thiên,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,33.0,8.0,4.0,69.7
6257,Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,4,4,35.0,10.0,3.5,82.86
6285,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,3,32.0,7.3,4.4,92.19
6297,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,35.0,8.2,4.0,61.43
6305,Ba Đình,Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,3,2,35.0,6.0,6.0,114.29
6306,Long Biên,Ngọc Thụy,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,39.4,13.2,3.0,89.74
6315,Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,4,2,35.0,8.75,4.0,68.57
6320,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,32.0,8.0,4.0,61.88
6325,Hà Đông,Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4,33.0,10.0,3.5,60.61
6333,Ba Đình,Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,10.0,4.0,92.5
6344,Hà Đông,Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4,2,31.5,9.0,4.0,46.77
6358,Hoàng Mai,Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,12.0,3.5,61.11
6363,Bắc Từ Liêm,Phú Diễn,"Nhà ngõ, hẻm",Đã có sổ,4,3,34.5,5.0,6.5,72.06
6369,Đống Đa,Phương Liên,"Nhà ngõ, hẻm",Đã có sổ,3,2,23.0,7.5,3.0,121.74
6379,Nam Từ Liêm,Đại Mỗ,"Nhà ngõ, hẻm",Đã có sổ,4,3,31.0,7.0,4.4,79.03
6380,Hà Đông,Phú Lương,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,33.0,9.0,3.6,42.42
6382,Hà Đông,Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,5,4,31.0,10.0,3.5,61.29
6404,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,11.2,4.0,88.89
6419,Hà Đông,Phú Lãm,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,33.0,9.0,3.5,45.45
6431,Đống Đa,Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,3,27.0,7.0,4.0,122.22
6440,Hoàng Mai,Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,3,32.0,8.0,4.0,78.13
6445,Đống Đa,Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,3,32.0,6.0,5.3,103.13
6489,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,3,3,36.0,10.0,3.6,44.17
6490,Huyện Hoài Đức,Xã Vân Canh,"Nhà ngõ, hẻm",Đã có sổ,4,3,33.0,6.09,5.85,66.06
6503,Hoàng Mai,Vĩnh Hưng,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,36.0,9.0,4.0,133.33
6512,Hai Bà Trưng,Vĩnh Tuy,"Nhà ngõ, hẻm",Đang chờ sổ,4,2,30.0,7.5,4.0,53.33
6519,Hà Đông,Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,38.0,10.5,3.5,57.89
6532,Đống Đa,Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,5,3,50.0,12.5,4.0,81.0
6546,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,11.25,4.0,98.89
6583,Cầu Giấy,Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,13.5,3.6,75.56
6587,Hai Bà Trưng,Đồng Tâm,"Nhà ngõ, hẻm",Đã có sổ,3,2,17.0,5.0,3.0,76.47
6591,Hoàng Mai,Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,4,3,36.0,8.8,4.2,83.06
6592,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4,49.0,9.0,5.3,61.22
6604,Hoàng Mai,Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,4,3,36.0,8.5,4.2,83.06
6634,Nam Từ Liêm,Mỹ Đình 2,"Nhà ngõ, hẻm",Đã có sổ,5,2,35.0,12.0,3.1,82.86
6691,Hai Bà Trưng,Trương Định,"Nhà ngõ, hẻm",Đã có sổ,4,4,58.0,14.0,4.15,89.66
6751,Hoàng Mai,Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,45.0,12.0,4.0,144.44
6777,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,3,37.0,10.0,4.0,77.03
6797,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,4,25.0,7.0,3.0,92.0
6814,Đống Đa,Thịnh Quang,"Nhà mặt phố, mặt tiền",Đã có sổ,4,2,25.0,8.0,3.2,76.0
6828,Thanh Xuân,Kim Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,33.0,8.0,4.0,87.88
6843,Cầu Giấy,Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,4,50.0,7.5,6.2,106.0
6847,Hà Đông,Phú Lương,"Nhà ngõ, hẻm",Đã có sổ,4,3,34.0,10.0,3.4,45.88
6852,Cầu Giấy,Nghĩa Đô,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,45.0,11.0,4.0,140.0
6864,Cầu Giấy,Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,7.0,4.5,94.29
6885,Thanh Xuân,Thanh Xuân Nam,"Nhà ngõ, hẻm",Đã có sổ,4,5,44.0,11.0,4.0,81.82
6889,Hoàng Mai,Yên Sở,"Nhà ngõ, hẻm",Đã có sổ,4,3,47.0,8.0,6.0,55.32
6945,Hoàng Mai,Thanh Trì,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,30.0,6.0,5.0,126.67
6958,Nam Từ Liêm,Đại Mỗ,"Nhà ngõ, hẻm",Đã có sổ,5,5,42.0,10.0,4.2,61.9
6994,Thanh Xuân,Thanh Xuân Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,60.0,10.0,6.0,150.0
6995,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,10.0,4.0,47.0
7004,Hà Đông,Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,5,3,33.0,8.0,4.0,80.3
7008,Hoàng Mai,Mai Động,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,6.0,5.9,90.0
7018,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,3,4,58.0,10.0,6.0,29.66
7023,Huyện Hoài Đức,Xã An Khánh,"Nhà ngõ, hẻm",Đã có sổ,3,3,31.0,10.0,3.2,48.39
7056,Thanh Xuân,Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,43.0,9.0,4.7,87.21
7062,Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,9.0,3.6,80.0
7067,Huyện Gia Lâm,Thị trấn Yên Viên,"Nhà ngõ, hẻm",Đã có sổ,3,3,72.0,14.4,5.16,86.11
7069,Cầu Giấy,Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,9.0,4.5,85.0
7070,Hà Đông,Đồng Mai,"Nhà ngõ, hẻm",Đã có sổ,4,3,32.6,10.0,3.3,45.31
7075,Hà Đông,Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,3,3,35.0,9.5,3.3,47.14
7084,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,32.0,10.0,3.2,50.0
7091,Đống Đa,Trung Phụng,"Nhà ngõ, hẻm",Đã có sổ,4,4,33.0,9.0,3.5,83.33
7133,Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,5,5,40.0,11.0,3.7,111.25
7170,Thanh Xuân,Kim Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,48.0,12.0,4.0,62.5
7172,Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,10.0,4.0,79.75
7206,Hoàng Mai,Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,37.0,11.0,3.4,71.62
7212,Thanh Xuân,Khương Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,32.0,8.0,4.0,89.06
7218,Hà Đông,La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,31.0,11.0,3.0,109.03
7224,Hoàng Mai,Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,3,36.0,9.0,4.0,100.0
7237,Ba Đình,Ngọc Khánh,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,9.0,4.0,104.29
7255,Hà Đông,Phú Lương,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,10.0,3.5,42.86
7268,Ba Đình,Liễu Giai,"Nhà ngõ, hẻm",Đã có sổ,5,5,40.0,10.0,4.0,113.75
7308,Hai Bà Trưng,Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,4,3,42.0,10.8,4.0,61.9
7309,Hoàng Mai,Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,42.0,10.2,4.0,67.86
7310,Ba Đình,Phúc Xá,"Nhà ngõ, hẻm",Đã có sổ,4,3,44.0,6.0,7.0,61.36
7317,Thanh Xuân,Thanh Xuân Nam,"Nhà ngõ, hẻm",Đã có sổ,4,5,44.0,11.0,4.0,81.82
7327,Đống Đa,Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,5,2,30.0,10.0,3.0,103.33
7353,Cầu Giấy,Nghĩa Đô,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,50.0,12.0,4.0,88.0
7379,Thanh Xuân,Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,4,4,46.0,12.0,4.0,100.0
7402,Đống Đa,Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,5,4,36.0,9.0,4.0,111.11
7411,Đống Đa,Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,9.0,3.8,123.33
7433,Cầu Giấy,Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,4,43.0,7.2,6.0,132.56
7440,Nam Từ Liêm,Mỹ Đình 2,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,6.6,4.6,106.67
7443,Bắc Từ Liêm,Phú Diễn,"Nhà ngõ, hẻm",Đã có sổ,3,3,30.0,7.5,4.0,60.0
7457,Hai Bà Trưng,Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,4,3,23.0,8.0,3.0,79.57
7459,Nam Từ Liêm,Trung Văn,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,42.0,12.0,3.5,119.05
7460,Nam Từ Liêm,Đại Mỗ,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,13.0,3.4,62.22
7466,Tây Hồ,Xuân La,"Nhà ngõ, hẻm",Đã có sổ,5,4,30.0,8.0,4.1,116.67
7477,Ba Đình,Kim Mã,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,31.0,7.0,5.0,90.32
7492,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,10.0,3.5,47.14
7495,Bắc Từ Liêm,Minh Khai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,38.0,10.0,4.0,100.0
7505,Hoàng Mai,Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,4,3,30.0,8.0,4.9,101.67
7511,Hoàng Mai,Hoàng Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,34.0,10.0,4.0,68.24
7550,Ba Đình,Phúc Xá,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,50.0,15.0,3.3,103.0
