,district,ward,type_of_housing,legal_paper,num_floors,num_bed_rooms,squared_meter_area,length_meter,width_meter,price_in_million_per_square_meter
880,Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,2,30.0,9.0,3.5,78.33
915,Hà Đông,Nguyễn Trãi,"Nhà ngõ, hẻm",Đã có sổ,3,4,36.0,7.0,5.0,76.39
920,Hoàng Mai,Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,35.0,10.0,3.5,105.71
934,Hai Bà Trưng,Trương Định,"Nhà ngõ, hẻm",Đã có sổ,5,4,48.0,11.0,4.5,110.42
959,Ba Đình,Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,4,4,54.0,13.0,4.0,81.48
967,Long Biên,Thượng Thanh,"Nhà ngõ, hẻm",Đã có sổ,5,3,31.0,9.0,3.0,63.87
992,Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,10.0,4.0,70.0
1004,Ba Đình,Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,5,3,42.0,10.0,4.0,123.81
1008,Nam Từ Liêm,Phú Đô,"Nhà ngõ, hẻm",Đã có sổ,5,3,33.0,8.0,4.0,84.85
1019,Nam Từ Liêm,Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,5,4,47.0,9.4,5.0,63.83
1060,Hoàng Mai,Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,5,4,39.0,9.0,4.5,111.54
1110,Bắc Từ Liêm,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,3,38.0,11.0,3.5,94.74
1112,Thanh Xuân,Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,5.0,7.0,77.14
1132,Đống Đa,Phương Mai,"Nhà ngõ, hẻm",Đã có sổ,3,4,35.0,8.5,4.1,97.14
1189,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,5,34.0,8.0,4.0,92.65
1212,Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,9.0,3.6,80.0
1225,Long Biên,Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,6,5,47.0,9.0,5.0,117.02
1258,Long Biên,Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,5,4,41.0,10.0,4.1,65.85
1268,Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,3,40.0,10.0,4.0,70.0
1271,Huyện Hoài Đức,Xã La Phù,"Nhà ngõ, hẻm",Đã có sổ,3,2,30.0,8.0,4.0,40.33
1276,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,5,4,45.0,10.1,4.0,157.78
1282,Hà Đông,Phú La,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,11.0,4.0,75.0
1286,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,5,50.0,10.0,5.0,93.0
1287,Long Biên,Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,6,3,30.0,10.0,3.5,110.0
1289,Long Biên,Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,4,4,57.0,15.0,4.0,77.19
1292,Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,4,4,60.0,10.0,6.0,55.83
1307,Huyện Gia Lâm,Xã Đông Dư,"Nhà ngõ, hẻm",Đã có sổ,3,2,30.0,6.0,5.0,50.33
1324,Long Biên,Ngọc Thụy,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,50.0,13.0,4.0,60.0
1336,Đống Đa,Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,5,5,48.0,8.0,6.0,93.75
1344,Thanh Xuân,Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4,36.0,9.0,4.1,91.67
1351,Hai Bà Trưng,Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,5,4,28.0,7.8,3.6,100.0
1360,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,4,31.0,7.0,4.6,66.13
1391,Nam Từ Liêm,Xuân Phương,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,34.0,10.0,3.4,70.59
1398,Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,8.0,3.5,96.67
1412,Đống Đa,Cát Linh,"Nhà ngõ, hẻm",Đã có sổ,4,4,75.0,12.0,6.3,77.33
1414,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,12.0,3.6,40.5
1418,Tây Hồ,Bưởi,"Nhà ngõ, hẻm",Đã có sổ,5,2,30.0,12.0,3.5,158.33
1421,Cầu Giấy,Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,6,4,35.0,9.8,3.6,104.29
1425,Cầu Giấy,Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,5.8,6.0,162.86
1451,Hai Bà Trưng,Trương Định,"Nhà ngõ, hẻm",Đã có sổ,5,5,49.0,8.0,6.5,104.08
1455,Long Biên,Cự Khối,"Nhà ngõ, hẻm",Đã có sổ,3,3,30.0,6.0,5.0,50.27
1471,Hai Bà Trưng,Trương Định,"Nhà ngõ, hẻm",Đã có sổ,5,5,49.0,8.0,6.5,104.08
1520,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,3,34.0,10.0,3.4,79.41
1545,Long Biên,Ngọc Lâm,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,73.0,14.0,5.4,58.9
1572,Cầu Giấy,Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,5,3,31.0,8.0,4.0,129.03
1575,Đống Đa,Phương Liên,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,11.0,4.0,111.11
1589,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,40.0,6.7,6.0,40.5
1591,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,4,44.0,11.0,4.0,67.05
1602,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,37.0,10.0,3.7,37.84
1610,Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Giấy tờ khác,4,3,33.0,8.0,3.7,112.12
1611,Ba Đình,Kim Mã,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,46.0,9.0,5.0,108.7
1612,Hoàng Mai,Thịnh Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,35.0,10.0,3.5,100.0
1697,Long Biên,Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,4,4,60.0,4.5,4.5,141.67
1705,Long Biên,Gia Thụy,"Nhà ngõ, hẻm",Đã có sổ,4,4,70.0,14.0,5.0,107.14
